,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
53,"Bill Nash, a retired Army major 
general and senior fellow at the Council on Foreign Relations, 
said this amounted to ""imposing on them a psychological sense of 
isolation, domination and futility, and trying to establish the 
conditions by which you can then reward them for information, as 
oppose to punish them.""","a psychological sense of 
isolation, domination and futility",sentiment,high-extreme,negative,,,
54,"I don't think they 
think that way anymore.""",think that way,arguing,low-medium,positive,,,
55,"When I ask the 
Marines if they've seen anything weird, they laugh sheepishly, 
looking at each other.",laugh sheepishly,other_attitude,low-medium,,,,
56,"""They 
get fed better than us, sir,"" says Lampert.","They 
get fed better than us",sentiment,low-medium,negative,,,
57,"After hours, we are confined to our Consolidated 
Bachelor Quarters, sleeping four to a duplex room on cots, some 
without pillows or blankets.","we are confined to our Consolidated 
Bachelor Quarters, sleeping four to a duplex room on cots, some 
without pillows or blankets",sentiment,low-medium,negative,,,
58,"""Soldiers and Marines that are guarding the detainees 
at Camp X-Ray have worse conditions than the detainees,"" he 
says.","Soldiers and Marines that are guarding the detainees 
at Camp X-Ray have worse conditions than the detainees",sentiment,medium-high,negative,,,
59,It's understandable if public affairs types are a little testy.,are a little testy,sentiment,medium,negative,,,
60,"Sillier still were protestations from such humanitarians as 
Saddam Hussein and the government of Malaysia (Prime Minister 
Mahathir Mohamad has made some of the loudest noise, though 
Amnesty International dings him for arresting the speechwriter 
of a political rival, who was then blindfolded, stripped naked, 
punched, verbally abused, and forced to simulate homosexual 
acts--none of which is alleged at Camp X-Ray).",protestations,sentiment,high,negative,X,,
61,The hospitality ends there.,The hospitality ends there,sentiment,low-medium,negative,,,
62,"Though they're really 
cleaning up the media center.","Though they're really 
cleaning up the media center",sentiment,low-medium,positive,,,
63,"After Rumsfeld tours Camp 
X-Ray with four senators and the chairman of the Joint Chiefs of 
Staff, Richard Myers (who is so overshadowed by the secretary's 
rock star aura that one reporter has to ask who he is), Rumsfeld 
meets the press on Heartbreak Ridge.","so overshadowed by the secretary's 
rock star aura that one reporter has to ask who he is",sentiment,medium,negative,,,
64,"I'm running my ass 
off chasing you guys around.""","I'm running my ass 
off chasing you guys around",sentiment,medium,negative,,,
65,"The prisoners (who represent about 25 different 
nationalities but mostly are Saudis) can also freely chat with 
each other about God knows what: prison uprisings, the demise of 
Talk magazine, trades of Froot Loops for garlic bagel chips.","The prisoners (who represent about 25 different 
nationalities but mostly are Saudis) can also freely chat with 
each other",sentiment,low,positive,,,
66,Guantanamo's Unhappy Campers,Unhappy,sentiment,low-medium,negative,,,
67,"There's an obvious culture clash (military personnel don't get 
paid to ask why; journalists don't get paid otherwise).",ask why,other_attitude,low-medium,,,,
68,They laze away in the shade of their cells.,They laze away in the shade of their cells,sentiment,low-medium,positive,,,
69,"""I'm up to my ears in Vieques,"" says Navy Lt. Corey 
Barker, of the nearby bombing range/public relations fiasco that 
has been protested by everyone from Al Sharpton to obscure 
Kennedys.",I'm up to my ears in Vieques,sentiment,medium-high,negative,,,
70,"""North, east, 
whatever,"" he replies, ""I'm Lutheran--I don't know where the 
hell it is.""",whatever,sentiment,low,negative,,,
71,"The goodies set out 
on a table (grape beverage powder and apple jelly from 
meals-ready-to-eat packs) practically scream, ""Can't wait till 
you leave.""","The goodies set out 
on a table (grape beverage powder and apple jelly from 
meals-ready-to-eat packs) practically scream, ""Can't wait till 
you leave",sentiment,medium,negative,,,
72,"On 
the ferry crossing over to the windward side where the camp is 
located, I sit next to a now mellow Lt. Col. Costello, who has 
decided to patch things up with the reporter he snapped at, and 
who, after getting the sign-off from Southern Command, has 
cleared us to stay through Rumsfeld's visit.",mellow,other_attitude,low,,,,
73,"While the 
military has spared no expense in construction costs (in three 
weeks, they built a completely operational field hospital 
staffed by 160 medical personnel--two more than there are 
prisoners), they've saved a fortune in toilet paper.",they've saved a fortune in toilet paper,other_attitude,low,,,,
74,"If we're not happy, that goes double for our public affairs 
babysitters.",not happy,sentiment,low-medium,negative,,,
75,"Now, Barker is stuck minding us as we light out for 
Guantanamo, the American naval station on the southeastern tip 
of Cuba.",Barker is stuck minding us,sentiment,low-medium,negative,,,
76,"Costello's 
blood rises as his high-and-tight haircut stands up like an 
angry-dog scruff: ""BECAUSE ... YOU'RE ... NOT ... STAYING!""","Costello's 
blood rises as his high-and-tight haircut stands up like an 
angry-dog scruff:",other_attitude,medium,,,,
77,"The prisoners, by contrast, get to read their 
Korans, while novels and more ""religious books"" are on the way.","The prisoners, by contrast, get to read their 
Korans, while novels and more ""religious books"" are on the way",sentiment,low-medium,negative,,,
78,"After a quick stop at McDonald's (the only 
one in Cuba), our white school bus transports us past beautiful 
seaside vistas and brownish cactus-infested scrub, past 
ramshackle housing and up a hill, which features an abandoned 
auto yard that the locals used to call Sears.","brownish cactus-infested scrub, past 
ramshackle housing and up a hill, which features an abandoned 
auto yard that the locals used to call Sears",sentiment,low,negative,,,
79,"At the end of our day, we are told that a C-141 
(the same plane that transported the detainees) just became 
available, and we are prematurely hustled off so the military 
can dump us in Nowheresville, New Jersey, on a Sunday night 
after every rental car place in the state has closed.","we are prematurely hustled off so the military 
can dump us in Nowheresville, New Jersey, on a Sunday night 
after every rental car place in the state has closed",sentiment,medium,negative,,,
80,"Those who think the prisoners are 
getting coddled (Rep. John Mica, a Florida Republican, visited 
the camp and said it's ""too good for the bastards"") will be 
happy to know that the shampoo is not jojoba-enriched.","Those who think the prisoners are 
getting coddled (Rep. John Mica, a Florida Republican, visited 
the camp and said it's ""too good for the bastards"") will be 
happy to know that the shampoo is not jojoba-enriched",other_attitude,low,,,,
81,"We aren't even allowed to go the 
beach, a few hundred yards away from our building (though, 
emboldened by the rum we imported from Puerto Rico, a colleague 
and I make a mad dash under a guard searchlight for the 
bathwater Caribbean anyway).","We aren't even allowed to go the 
beach, a few hundred yards away from our building",sentiment,low,negative,,,
82,"Not just any shampoo, but 
""Lively"" salon anti-dandruff shampoo--a ""luxurious shampoo in a 
gentle formula that restores moisture, shine, and body to your 
beautifully clean hair.""","Not just any shampoo, but 
""Lively"" salon anti-dandruff shampoo--a ""luxurious shampoo in a 
gentle formula that restores moisture, shine, and body to your 
beautifully clean hair",sentiment,low,positive,,,
83,"By contrast, for breakfast and lunch alone, the prisoners 
are served oatmeal, an orange, peanut butter, margarine, a 
""culturally appropriate"" halal meal, and a giant snack pack 
containing Froot Loops, raisins, a Nature Valley granola bar, 
baked garlic bagel chips, and Bullseye barbecue-seasoned 
sunflower kernels.","By contrast, for breakfast and lunch alone, the prisoners 
are served oatmeal, an orange, peanut butter, margarine, a 
""culturally appropriate"" halal meal, and a giant snack pack 
containing Froot Loops, raisins, a Nature Valley granola bar, 
baked garlic bagel chips, and Bullseye barbecue-seasoned 
sunflower kernels",sentiment,low-medium,negative,,,
84,"""Welcome to the Pearl of the Antilles,"" deadpans Lt. Commander 
Brendan McPherson, in a limp cruise-director chirp.",Welcome to the Pearl of the Antilles,other_attitude,low-medium,,,,
85,"Sillier still were protestations from such humanitarians as 
Saddam Hussein and the government of Malaysia (Prime Minister 
Mahathir Mohamad has made some of the loudest noise, though 
Amnesty International dings him for arresting the speechwriter 
of a political rival, who was then blindfolded, stripped naked, 
punched, verbally abused, and forced to simulate homosexual 
acts--none of which is alleged at Camp X-Ray).",has made some of the loudest noise,sentiment,medium-high,negative,,,
86,"I'm not getting 2,600 calories a day.","I'm not getting 2,600 calories a day",sentiment,low-medium,negative,,,
87,"At some point, that might become necessary, they tell me, as 
plotting is obviously afoot.",plotting,intention,low,positive,,,
88,"After another hour or two of waiting, a mouthy reporter 
loudly calls his editor so we can all hear him report the 
latest: ""Same shit, different day.","Same shit, different day",sentiment,medium,negative,,,
89,"""North, east, 
whatever,"" he replies, ""I'm Lutheran--I don't know where the 
hell it is.""","don't know where the 
hell it is",sentiment,medium,negative,,,
90,"Then, the concern was how to make comfortable traumatized 
victims of civil war uprooted from a violent, cold climate.",traumatized,sentiment,high,negative,,,
91,Staff Sgt Webster was frustrated.,was frustrated,sentiment,high,negative,,,
92,"""They're 
willing to give their life to take yours.""",willing to give their life to take yours,sentiment,medium-high,negative,,,
93,"""Our guys are pretty dirty.",Our guys are pretty dirty,sentiment,medium,negative,,,
94,"""We'll probably be giving them moisturiser next.""",We'll probably be giving them moisturiser next,sentiment,low,negative,,,
95,"Still, before discussing the antics of Mr. Tobin and the 
elevation of Ottawa's John Manley to the status of golden boy, 
there is the controversial, and more pressing, matter of the 
plight of the al-Qaeda fighters imprisoned at a U.S. military 
base in Cuba.","the 
elevation of Ottawa's John Manley to the status of golden boy",sentiment,low-medium,negative,,,
96,"By Day Seven, however, Ms. Harris-Adler notes that though Mr. 
Tobin has finally mastered the diapering process, his ""baby"" who 
is 15 years old is ""not amused.""","is ""not amused",sentiment,medium,negative,,,
97,"In the Citizen, columnist Rosa Harris-Adler wrote a 
devastatingly sarcastic piece, ridiculing Mr. Tobin's assertion 
that he was leaving for family reasons.","wrote a 
devastatingly sarcastic piece",sentiment,medium-high,negative,,,
98,The vitriol continues.,vitriol,sentiment,medium,negative,,,
99,"Amidst the heat of military battles in Afghanistan, and on the background of the double crime that hit the United States, international opinion is now willing to overlook some inhumane practices that were made on this or that front.",double crime,sentiment,medium-high,negative,,,
100,"However, the situation has changed fundamentally since the batches of Al-Qa'ida and Taliban prisoners started arriving one after the other to Guatanamo base shackled and caged in cages that are no longer than eight feet and wider than six.",shackled and caged in cages that are no longer than eight feet and wider than six,sentiment,medium-high,negative,,,
101,"It pointed out that all the goals set at an 
April 2000 human rights conference had been achieved, which it 
added had been ignored by the report.",goals,intention,medium,positive,X,,
102,Craner: You'll have to judge by the outcome.,judge,other_attitude,low,,,,
103,"Craner: Can I talk about tangible advances in particular 
countries?","Can I talk about tangible advances in particular 
countries",other_attitude,low-medium,,,,X
104,"Craner: Well, yeah, I understand.",understand,other_attitude,low,,,,
105,"You talk about what we're doing tangibly in every other country 
but Saudi Arabia.","You talk about what we're doing tangibly in every other country 
but Saudi Arabia",sentiment,low-medium,negative,,,
106,Q: But I heard this before.,But I heard this before,sentiment,low,negative,,,
107,What's the big secret?,What's the big secret,other_attitude,low,,,,
108,"The US has shown no inclination to punish 
allies it bankrolls such as Egypt and Turkey while berating 
countries less relevant to it.",punish,sentiment,high,negative,,,
109,"I mean, there's nothing that's 
visible at all to us in the outside world.","there's nothing that's 
visible at all to us in the outside world",sentiment,medium,negative,,,
110,What's different?,What's different,other_attitude,low-medium,,,,
111,Q: Why can't you give us some indication?,Why can't you give us some indication,other_attitude,low,,,,
112,"An official source who described the reaction on Tuesday said 
the criticism was an annual event and emphasized that it was not 
directed at human rights in Lebanon only, but covered several 
other countries in as well.",the reaction,other_attitude,low,,,,
113,"A copy of the report, which criticizes what it described as the 
weakening of the central government's prerogatives, has been 
handed over by the deputy chief of mission at the US Embassy in 
Awkar, Carol Kalin, to the Foreign Ministry's acting 
director-general, Naji Abi Assi.","described as the 
weakening of the central government's prerogatives",arguing,medium,positive,,,X
114,"U.S. officials have partially endorsed 
that view, pointing to rebel leaders such as Shamil Basayev and 
the Jordanian-born Omar Ibn al Khattab, who are believed to have 
financial and other ties to Osama bin Laden's al-Qaida terrorist 
network.",view,arguing,low,positive,X,,
115,"""We are now looking at Suhakam as an institution to fulfill this promise,"" he stressed.",promise,intention,medium,positive,,,
116,"""We will also note to what extent Suhakam will monitor the government's compliance with previous recommendations on various human rights issues contained in its maiden report to the Parliament as well as its other reports,"" he added.",recommendations,arguing,low,positive,,,
117,"""In the meantime, we will monitor the commissioners in the discharge of their statutory duties in respect of the pending complaints and inquires,"" he said.",inquires,other_attitude,low,,,,
118,"Ramdas said it was perceived that Anuar and Mehrun, instrumental behind the scathing Kesas report, were dropped for performing their duties without fear or favour.",the scathing Kesas report,sentiment,high,negative,,,
119,"""The fact that three commissioners have now been axed is a clear signal to other commissioners that their tenure is dependent on whether or not they have pleased the executive.",have pleased,sentiment,medium,positive,,,
120,"Ramdas said the government's failure to adhere to the commission's recommendations creates the impression that Suhakam is nothing but ""a mere public relations tool"".",recommendations,arguing,low,positive,,,
121,"Speaking on behalf of the NGOs , human rights organisation, Hakam president Ramdas Tikamdas said the boycott was to protest the government's poor response to Suhakam's numerous recommendations thus far.",recommendations,arguing,low,positive,,,
122,"""In the meantime, we will monitor the commissioners in the discharge of their statutory duties in respect of the pending complaints and inquires,"" he said.",complaints,sentiment,medium,negative,,,
123,"Ramdas said it was perceived that Anuar and Mehrun, instrumental behind the scathing Kesas report, were dropped for performing their duties without fear or favour.",without fear or favour,other_attitude,medium-high,,,,
124,The NGOs stressed the government has also failed to respect or recognise Suhakam's recommendations and also lamented the decline of human rights in Malaysia.,recommendations,arguing,low,positive,,,
125,"""The fact that three commissioners have now been axed is a clear signal to other commissioners that their tenure is dependent on whether or not they have pleased the executive.",have now been axed,sentiment,low,negative,,X,
126,"However, such a criticism is absent in the 2001 human rights report as the United States is planning to try the al-Qa'ida and Taliban detainees in military courts while refusing to grant them POW status.",such a criticism,sentiment,medium,negative,,,
127,"In light of the United States' malicious goals, its Annual Human Rights Report for 2001 is facing strong protest and criticism from the world.",goals,intention,low-medium,positive,,,
128,Racial prejudice has assumed alarming proportions.,Racial prejudice,sentiment,high,negative,,,
129,American intellectual Noam Chomsky has proved in his writings that the accomplishment of its goals by aggression and terrorism is a part of the American psyche.,goals,intention,low-medium,positive,,,
130,Apparently President Bush's attitude looks like a reaction to the events of 11 September 2001.,attitude,other_attitude,low,,,,
131,"Encouraged by the global community's shameful silence, the United States has announced the second phase of its war against terrorism.",Encouraged,sentiment,medium,positive,,,
132,"Instead of blindly accepting every demand made by the United States and responding positively to every American phone call, Pakistan should take every single step carefully.",demand,sentiment,medium-high,positive,,,X
133,This not only shows the double standards of the US but also its selfishness.,selfishness,other_attitude,medium-high,,,,
134,Pakistan also needs to rethink in this regard.,rethink,other_attitude,low,,,,
135,"Pakistan should draw its own conclusions in the light of its own circumstances, from this report issued by China.",conclusions,other_attitude,low,,X,,
136,By clarifying the Imam's edict the Islamic Republic of Iran made the people of the world understand that insulting the Prophet was in fact violating the rights of millions of people throughout the world.,insulting the Prophet was in fact violating the rights of millions of people throughout the world,sentiment,high,negative,,,
137,The United States thinks that it can silence the justice-seeking cries of the peoples of the world with the sound of explosions from 7-ton bombs and it thinks that it can justify its own inhuman behavior in the shadow of this noise.,justice-seeking cries,sentiment,high-extreme,negative,,,
138,The statement urged the statesmen in different countries to heed the religious teachings calling for respect for human rights and said that no peace will be established without honoring human,calling for respect for human rights,arguing,medium,positive,,,
139,"""The human communities have suffered heavy human losses in the course of devastating world wars and understood that any progress in human communities is dependent on honoring the human rights,"" it said.",The human communities have suffered heavy human losses in the course of devastating world wars,sentiment,high,negative,,,
140,"The IHRC said in a statement to mark December 10, ""international day for human rights"" that the international community has formulated numerous documents to honor human rights after 50 years of bitter experience and the heavy losses that the humanity has suffered.",50 years of bitter experience and the heavy losses that the humanity has suffered,sentiment,high,negative,,,
141,"In its so-called war against terrorism and against weapons of mass destruction lies its covert motive and that is its strategic and economic interests,"" Abbas added.",motive,other_attitude,low-medium,,,,
142,This spiteful attitude clearly shows that Copithorne is only a hireling tasked with tarnishing the image of the Islamic Republic and its senior officials.,spiteful attitude,sentiment,high,negative,,,
143,"The Americans, he pointed out, see violations of human rights when a country or a group of people become hurdles in the realization of their vested interests.",see violations of human rights,arguing,medium-high,positive,,,
144,"Muslims rulers should forge unity in their ranks to resist the ever-increasing US influence; otherwise, they would be targeted one by one, Hameed Gul concluded.",unity,agreement,medium-high,positive,,,
145,"[""Opinion"" U.S. Human Rights Claims Only Empty Rhetoric]",Claims,arguing,low,positive,,,
146,"The ugliest crimes are perpetrated against inmates in U.S. prisons, and the mistreatment of ethnic minorities by the U.S. police is so appalling that on several occasions it has led to massive riots.",The ugliest crimes are perpetrated against inmates in U.S. prisons,sentiment,medium,negative,,,
147,"Although the United States claims to advocate human rights, its harsh treatment of its own citizens and its hegemonic and belligerent policy towards other nations prove that the claim is just empty rhetoric.",the claim,arguing,low,positive,,,
148,"""There could be no expediency, no compromise, no lapse in vigilance,"" he said.","There could be no expediency, no compromise, no lapse in vigilance",arguing,high,negative,,,X
149,"""Underdevelopment had seriously hindered the capacity of developing countries to protect and promote human rights.""",Underdevelopment had seriously hindered the capacity of developing countries to protect and promote human rights,sentiment,high,negative,,,
150,"""The second crucial element, maintaining international peace and security, was also emphasized as the Committee continued its debate on human rights questions, including alternative approaches for improving the effective enjoyment of human rights and fundamental freedoms,"" it said.","The second crucial element, maintaining international peace and security",arguing,low-medium,positive,,,
151,"""With the rapid spread of globalization and economic expansion, the situation for poor countries was deteriorating with each passing day,"" Shen said.",the situation for poor countries was deteriorating with each passing day,sentiment,high,negative,,,
152,"The report says even though the Namibian Constitution provided that people arrested must be informed of the reason for their arrest and be brought before a magistrate within 48 hours of their detention, this has not been the case.",this has not been the case,sentiment,medium-high,negative,,,X
153,"The report charged that many people were arrested on the basis of suspicious links with Angolan rebel movement, Unita, and the Caprivi Liberation Army (CLA).","charged that many people were arrested on the basis of suspicious links with Angolan rebel movement, Unita, and the Caprivi Liberation Army",sentiment,low-medium,negative,,,
154,"To back up their reckless conclusion, the report lists many incidents where it said religious freedom was violated.",conclusion,other_attitude,low,,,,
155,"""The United States has violated the UN spirit of not interfering in other countries' internal affairs,"" said Jin Yongjian, a former deputy secretary-general of the United Nations.",spirit of not interfering in other countries' internal affairs,other_attitude,low-medium,,,,
156,The report uses many unsubstantiated stories to illustrate its unwarranted assertions.,assertions,arguing,low,positive,,,
157,"""If you're not with us, you're against us.""","If you're not with us, you're against us",arguing,high,positive,,,
158,"Six months have passed since Sept. 11 and the focus of US anger has turned to countries that have been labeled ""rogue nations"" and members of an ""axis of evil.""","labeled ""rogue nations"" and members of an ""axis of evil.""",sentiment,medium-high,negative,,,
159,"The report expressly points out that, ""It is extremely easy for terrorists to find supporters in countries where human rights are not respected and where individual freedom is repressed.""",expressly,other_attitude,low-medium,,,,
160,Such wishful thinking risks making the US an accomplice in the destruction of human rights.,thinking,other_attitude,low-medium,,,,
161,"One is to encourage this cooperation and the other is to express concerns about serious situations of human rights violations or shortcomings, that I will also do.""",serious situations of human rights violations or shortcomings,sentiment,high,negative,,,
162,"She specifically highlighted the situation of the ethnic Uighhur Muslim population of Xinjiang, China's furthest west region, where rights groups have claimed a crackdown against separatists has been stepped up since the September 11 attacks on the United States.",have claimed a crackdown against separatists has been stepped up since the September 11 attacks on the United States,sentiment,medium,negative,,,
163,"""I will also raise some individual cases and express concerns.",concerns,sentiment,medium,negative,,,
164,"China has repeatedly said it is ""a victim of terrorism"" in Xinjiang, which borders Afghanistan, and there have been reports of Uighur activists being rounded up following the September 11 attacks.","it is ""a victim of terrorism"" in Xinjiang",sentiment,high,negative,,,
165,"However despite previous discussions ""I haven't had as much progress on individual cases as I have wished to,"" she added.",I haven't had as much progress on individual cases as I have wished to,sentiment,low-medium,negative,,,
166,"That the fight against Xinjiang ""terrorists"" was part of the global anti-terror battle ""should be very clear, no double standards should be pursued here,"" he added.",no double standards should be pursued here,arguing,medium,negative,,,
167,"Any cooperation with China over rights issues would not blunt further criticism, she pledged.",further criticism,sentiment,medium,negative,,,
